workload,batch_size,batch_index,block_distribution,zipf_alpha,n,r_size,r_prime_size,n_r,n_r_prime,deleted_count,seed,incremental_total_time,static_update_time,static_check_time,static_total_time,speedup,touched_block_entries,touched_block_count,primitive_update_count,result_match,inc_is_repair,static_is_repair,code_version,active_block_count,mean_deleted_block_size,median_deleted_block_size,p95_deleted_block_size,p99_deleted_block_size,max_deleted_block_size
swap,10,12,uniform,,110000,110000,100000,110000,100000,10000,42,0.00019199997768737376,1.7900019884109497e-05,0.19794429998728447,0.19796220000716858,1031.0532448576785,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,10,13,uniform,,110000,110000,100000,110000,100000,10000,42,0.00021650001872330904,2.0299979951232672e-05,0.2035918000037782,0.20361209998372942,940.4715121246682,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,10,14,uniform,,110000,110000,100000,110000,100000,10000,42,0.0002182000025641173,1.7399986973032355e-05,0.19726939999964088,0.19728679998661391,904.1558096620181,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,10,15,uniform,,110000,110000,100000,110000,100000,10000,42,0.00017660000594332814,1.379998866468668e-05,0.19228420002036728,0.19229800000903197,1088.8901106308083,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,10,16,uniform,,110000,110000,100000,110000,100000,10000,42,0.00020420001237653196,2.3300002794712782e-05,0.19355359999462962,0.19357689999742433,947.9769258803018,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,10,17,uniform,,110000,110000,100000,110000,100000,10000,42,0.0001697000116109848,1.3299984857439995e-05,0.18468780000694096,0.1847010999917984,1088.3976862370619,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,10,18,uniform,,110000,110000,100000,110000,100000,10000,42,0.00018920001457445323,1.5999976312741637e-05,0.18924279999919236,0.1892587999755051,1000.310705055621,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,10,19,uniform,,110000,110000,100000,110000,100000,10000,42,0.00022260000696405768,1.7699989257380366e-05,0.2025007999909576,0.20251849998021498,909.786584206688,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,0,uniform,,110000,110000,100000,110000,100000,10000,42,0.0013913000002503395,0.00010750000365078449,0.19320959999458864,0.19331709999823943,138.94709980842052,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,100,1,uniform,,110000,110000,100000,110000,100000,10000,42,0.00125790000311099,0.00011659998563118279,0.1982760000100825,0.19839259999571368,157.71730622868012,2000,200,200,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
