algorithm,case_type,base_clean_size,n,r_size,r_prime_size,seed,rep,conflict_ratio,fd_count,candidate_key_width,deleted_count,index_count,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,peak_memory_mb,result,timeout,code_version
FD-Hash,pass,1000,1100,1100,1000,2,0,0.1,4,1,100,4,0.018426099995849654,0.0009210999996867031,0.019454599998425692,0.5698089599609375,28.10546875,0.5698089599609375,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,2,1,0.1,4,1,100,4,0.01952629999141209,0.0009235999896191061,0.020593200024450198,0.5696182250976562,27.796875,0.5696182250976562,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,2,2,0.1,4,1,100,4,0.018511900008888915,0.0008063999994192272,0.01947289999225177,0.5696182250976562,28.18359375,0.5696182250976562,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,2,3,0.1,4,1,100,4,0.016093599988380447,0.0010204999998677522,0.017233099992154166,0.5696182250976562,28.18359375,0.5696182250976562,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,2,4,0.1,4,1,100,4,0.01817049999954179,0.0007681999995838851,0.0190901999885682,0.5696182250976562,28.18359375,0.5696182250976562,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,2,0,0.1,4,1,100,1,0.002069400012260303,0.00045769999269396067,0.0026165000163018703,0.1209564208984375,28.25390625,0.1209564208984375,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,2,1,0.1,4,1,100,1,0.001983099995413795,0.0004425999941304326,0.0025265000003855675,0.12099456787109375,28.25390625,0.12099456787109375,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,2,2,0.1,4,1,100,1,0.0021391999907791615,0.0005113000224810094,0.002737300004810095,0.1209869384765625,28.25390625,0.1209869384765625,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,2,3,0.1,4,1,100,1,0.002058900019619614,0.0004420999903231859,0.0026147000025957823,0.12097930908203125,28.25390625,0.12097930908203125,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,2,4,0.1,4,1,100,1,0.0021613000135403126,0.000458399998024106,0.0027193999849259853,0.1209716796875,28.25390625,0.1209716796875,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,3,0,0.1,4,1,100,0,0.0,0.488743699999759,0.5096420999907423,0.9091558456420898,26.72265625,0.9091558456420898,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,3,1,0.1,4,1,100,0,0.0,0.4627370999951381,0.4808936000044923,0.9091558456420898,26.890625,0.9091558456420898,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,3,2,0.1,4,1,100,0,0.0,0.48357539999415167,0.5019784000178333,0.9091558456420898,26.71484375,0.9091558456420898,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,3,3,0.1,4,1,100,0,0.0,0.4604686999809928,0.47920470000826754,0.9091558456420898,26.71484375,0.9091558456420898,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,3,4,0.1,4,1,100,0,0.0,0.47589080000761896,0.49477950000436977,0.9091558456420898,26.6796875,0.9091558456420898,True,False,68869e6
