workload,batch_size,batch_index,block_distribution,zipf_alpha,n,r_size,r_prime_size,n_r,n_r_prime,deleted_count,seed,incremental_total_time,static_update_time,static_check_time,static_total_time,speedup,touched_block_entries,touched_block_count,active_block_count,mean_deleted_block_size,median_deleted_block_size,p95_deleted_block_size,p99_deleted_block_size,max_deleted_block_size,primitive_update_count,result_match,inc_is_repair,static_is_repair,code_version
d_only,1,69,uniform,,1100000,1099996,1000000,1099996,1000000,99996,1,2.2499996703118086e-05,1.600012183189392e-06,2.16447510002763,2.1644767000398133,96198.97854206603,0,0,10033,9.966709857470347,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,70,uniform,,1100000,1099995,1000000,1099995,1000000,99995,1,2.2899999748915434e-05,1.700012944638729e-06,2.042425199993886,2.0424269000068307,89188.94857645412,0,0,10033,9.96661018638493,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,71,uniform,,1100000,1099996,1000000,1099996,1000000,99996,1,3.4900003811344504e-05,2.300017513334751e-06,2.1089221999864094,2.1089245000039227,60427.62950410914,0,0,10034,9.965716563683475,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,72,uniform,,1100000,1099995,1000000,1099995,1000000,99995,1,2.400000812485814e-05,1.8999853637069464e-06,2.0962128000101075,2.096214699995471,87342.24959800347,0,0,10034,9.965616902531393,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,73,uniform,,1100000,1099996,1000000,1099996,1000000,99996,1,2.889998722821474e-05,1.8999853637069464e-06,2.123677100025816,2.1236790000111796,73483.73489722013,0,0,10035,9.96472346786248,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,74,uniform,,1100000,1099997,1000000,1099997,1000000,99997,1,2.6699999580159783e-05,1.7999846022576094e-06,2.434755499998573,2.4347572999831755,91189.41341828309,0,0,10036,9.963830211239538,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,75,uniform,,1100000,1099998,1000000,1099998,1000000,99998,1,2.61999957729131e-05,1.7999846022576094e-06,2.087635300005786,2.0876370999903884,79680.81819878364,0,0,10037,9.962937132609346,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,76,uniform,,1100000,1099997,1000000,1099997,1000000,99997,1,2.81000102404505e-05,1.9999861251562834e-06,2.0218990000139456,2.021901000000071,71953.74601997496,0,0,10037,9.962837501245392,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,77,uniform,,1100000,1099998,1000000,1099998,1000000,99998,1,3.429999924264848e-05,2.7999922167509794e-06,2.0670077000104357,2.0670105000026524,60262.69812369383,0,0,10038,9.961944610480176,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,78,uniform,,1100000,1099997,1000000,1099997,1000000,99997,1,2.95999925583601e-05,2.200016751885414e-06,2.110251700010849,2.110253900027601,71292.3794108046,0,0,10038,9.961844989041643,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,79,uniform,,1100000,1099996,1000000,1099996,1000000,99996,1,2.6699999580159783e-05,2.2999884095042944e-06,2.0585072000103537,2.058509499998763,77097.73529466266,0,0,10038,9.961745367603108,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,80,uniform,,1100000,1099997,1000000,1099997,1000000,99997,1,2.61999957729131e-05,2.00001522898674e-06,2.1167334000056144,2.1167354000208434,80791.44051653754,0,0,10039,9.96085267456918,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,81,uniform,,1100000,1099998,1000000,1099998,1000000,99998,1,3.279998782090843e-05,2.9999937396496534e-06,2.386549900023965,2.386552900017705,72760.78616396288,0,0,10040,9.95996015936255,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,82,uniform,,1100000,1099999,1000000,1099999,1000000,99999,1,2.8099981136620045e-05,1.700012944638729e-06,2.1392645000014454,2.13926620001439,76130.52085741393,0,0,10041,9.959067821930086,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,83,uniform,,1100000,1099998,1000000,1099998,1000000,99998,1,2.95999925583601e-05,2.8999929782003164e-06,2.0896514000196476,2.0896543000126258,70596.44680290409,0,0,10041,9.95896823025595,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,84,uniform,,1100000,1099999,1000000,1099999,1000000,99999,1,2.7300004148855805e-05,2.00001522898674e-06,2.074960400001146,2.074962400016375,76005.93716771799,0,0,10042,9.958076080462058,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,85,uniform,,1100000,1100000,1000000,1100000,1000000,100000,1,2.9900023946538568e-05,1.7999846022576094e-06,2.142737299989676,2.1427390999742784,71663.45765493397,0,0,10043,9.957184108334163,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,86,uniform,,1100000,1100001,1000000,1100001,1000000,100001,1,3.789999755099416e-05,2.9999937396496534e-06,2.112438399984967,2.1124413999787066,55737.243706584224,0,0,10044,9.956292313819196,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,87,uniform,,1100000,1100002,1000000,1100002,1000000,100002,1,2.9999995604157448e-05,2.100015990436077e-06,2.1137805999896955,2.113782700005686,70459.43365780875,0,0,10045,9.955400696864112,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,88,uniform,,1100000,1100003,1000000,1100003,1000000,100003,1,2.6900001103058457e-05,2.00001522898674e-06,2.3321089999808464,2.3321109999960754,86695.57265300337,0,0,10046,9.954509257415888,10.0,10.0,10.0,10,1,True,True,True,3b86002
