experiment,param_name,param_value,algorithm,base_clean_size,n,r_size,r_prime_size,seed,rep,conflict_ratio,fd_count,requested_fd_count,actual_nontrivial_fd_count,candidate_key_width,block_distribution,zipf_alpha,deleted_count,active_block_count,mean_deleted_block_size,max_deleted_block_size,raw_fd_index_count,bcnf_index_count,compression_ratio,index_count,validation_time_sec,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,result,candidate_consistent,code_version
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,5,1,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.2733216999913566,19.32966590000433,0.379891199991107,19.98291719998815,597.1003112792969,679.0859375,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,5,2,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.26306019999901764,19.652944799978286,0.3425083000038285,20.2585552999808,597.1002502441406,693.33984375,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,5,3,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.252808700024616,18.79906220000703,0.3476985000015702,19.39960860001156,597.1001892089844,695.08984375,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,5,4,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.262129399983678,18.95546739999554,0.36700879997806624,19.584645099996123,597.1002502441406,699.87890625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,5,0,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.29221950002829544,2.4184574999962933,0.2839797000051476,2.994671799999196,133.77730560302734,700.859375,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,5,1,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.2902419999882113,2.405307700013509,0.28832260001217946,2.983881799998926,133.77725982666016,701.86328125,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,5,2,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.2666304000013042,2.446202099992661,0.2875822999922093,3.0004239000263624,133.77725982666016,702.859375,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,5,3,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.26280060000135563,2.4398944999848027,0.30033490000641905,3.0030382000259124,133.77725982666016,702.859375,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,5,4,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.2716923000116367,2.434936600009678,0.3143554000125732,3.0209942999936175,133.7773666381836,701.38671875,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,1050000,1050000,1000000,1,0,0.05,4,4,4,1,uniform,,50000,5000,10.0,10,4,1,0.75,4,0.27064919998520054,19.916940199997043,0.718859299988253,20.906491800007643,597.1005554199219,700.91015625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,1050000,1050000,1000000,1,1,0.05,4,4,4,1,uniform,,50000,5000,10.0,10,4,1,0.75,4,0.2917169999855105,20.586946799972793,0.7791107000084594,21.657822200009832,597.1002502441406,705.3359375,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,1050000,1050000,1000000,1,2,0.05,4,4,4,1,uniform,,50000,5000,10.0,10,4,1,0.75,4,0.2928068000182975,20.34067789997789,1.067234499991173,21.700766299996758,597.1003112792969,709.5703125,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,1050000,1050000,1000000,1,3,0.05,4,4,4,1,uniform,,50000,5000,10.0,10,4,1,0.75,4,0.37277000001631677,23.320590999996057,0.8064038000011351,24.499811200017575,597.1002502441406,714.36328125,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,1050000,1050000,1000000,1,4,0.05,4,4,4,1,uniform,,50000,5000,10.0,10,4,1,0.75,4,0.4184985999891069,21.0023125000007,0.8271634000120685,22.24802900000941,597.1003112792969,724.421875,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,1050000,1050000,1000000,1,0,0.05,4,4,4,1,uniform,,50000,5000,10.0,10,4,1,0.75,1,0.34192250002524815,2.8000445000070613,0.5062324999889825,3.6482155000267085,133.77730560302734,725.03515625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,1050000,1050000,1000000,1,1,0.05,4,4,4,1,uniform,,50000,5000,10.0,10,4,1,0.75,1,0.33224150000023656,2.4866728999768384,0.58596789999865,3.404892100021243,133.77725982666016,726.03515625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,1050000,1050000,1000000,1,2,0.05,4,4,4,1,uniform,,50000,5000,10.0,10,4,1,0.75,1,0.3892360999889206,2.930498500005342,0.5690273999935016,3.8887735000171233,133.7773666381836,726.90234375,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,1050000,1050000,1000000,1,3,0.05,4,4,4,1,uniform,,50000,5000,10.0,10,4,1,0.75,1,0.2965572999964934,2.6335015000076964,0.5019222999981139,3.431991699995706,133.7773666381836,726.93359375,True,True,68869e6
