experiment,param_name,param_value,algorithm,actual_nontrivial_fd_count,block_distribution,raw_fd_index_count,bcnf_index_count,median_total_time,mean_total_time,std_total_time,p25_total_time,p75_total_time,median_python_peak_mb,speedup_vs_fd_hash_median,n_runs
B_fd_count,fd_count,8,FD-Hash,8,uniform,8,1,42.83405379997566,42.59064528399962,2.4092600191050675,40.740995300002396,44.422800400003325,1123.3117370605469,,25
C_key_width,key_width,1,BCNF-Index,4,uniform,4,1,3.6074787999968976,3.6811963199975435,0.2573075022567555,3.4757052999921143,3.8721377000038046,133.77725982666016,5.853138596411093,25
C_key_width,key_width,1,FD-Hash,4,uniform,4,1,21.115073399996618,21.60205619599321,1.0199477795584881,20.783049499994377,22.39013069999055,597.1003112792969,,25
C_key_width,key_width,2,BCNF-Index,4,uniform,4,1,3.6352707000041846,3.705580732000526,0.19986803783413518,3.5544962999993004,3.776119699992705,141.40670013427734,5.787267149039322,25
C_key_width,key_width,2,FD-Hash,4,uniform,4,1,21.0382826999994,21.34918014800176,0.7389241416315031,20.903975399996853,21.300124399975175,619.9884948730469,,25
C_key_width,key_width,4,BCNF-Index,4,uniform,4,1,3.9019842999987304,5.157935200000647,1.703459735748715,3.784039699996356,7.200852000009036,156.66542053222656,5.810318534599589,25
C_key_width,key_width,4,FD-Hash,4,uniform,4,1,22.671771699999226,28.307898419999983,9.174898937745823,21.719285700004548,39.67787500002305,665.7648010253906,,25
D_block_distribution,block_distribution,uniform,BCNF-Index,4,uniform,4,1,3.45641670000623,3.5022112439980266,0.12578491971891717,3.4373522000096273,3.512122800020734,133.77730560302734,5.932122217774452,25
D_block_distribution,block_distribution,uniform,FD-Hash,4,uniform,4,1,20.50388629999361,20.681949851999526,0.4547590927747442,20.328574900020612,20.781093099998543,597.1002502441406,,25
D_block_distribution,block_distribution,zipf_1.2,BCNF-Index,4,zipf_1.2,4,1,3.4416787999798544,3.4432395600015298,0.04785037868390394,3.4114521000010427,3.4734825000050478,133.77730560302734,5.944242588854277,25
D_block_distribution,block_distribution,zipf_1.2,FD-Hash,4,zipf_1.2,4,1,20.458173699997133,20.46655595199438,0.2202495743109714,20.30107169999974,20.55071899999166,597.1003112792969,,25
