batch_size,batch_index,distribution,n,seed,incremental_time,static_rebuild_time,speedup,result_match,affected_block_rows,inc_is_repair,static_is_repair
1,0,zipf,1000000,1,1.2181415000013658,2.684348900002078,2.2036429265393784,True,1,True,True
1,1,zipf,1000000,1,1.2448799999983748,2.657669899999746,2.1348803900803417,True,1,True,True
1,2,zipf,1000000,1,0.0020618000016838778,0.9738780000006955,472.3435828913215,True,1,False,False
1,3,zipf,1000000,1,3.029999788850546e-05,0.9808776999998372,32372.203576025357,True,1,False,False
1,4,zipf,1000000,1,1.2478948999996646,0.9918953999986115,0.7948549192715493,True,1,False,False
1,5,zipf,1000000,1,1.3801072999995085,0.9940338999986125,0.7202584175875067,True,1,False,False
1,6,zipf,1000000,1,1.816690200001176,0.9203731999987212,0.5066208867082156,True,2,False,False
1,7,zipf,1000000,1,1.3005103999967105,0.922008099998493,0.708958651926832,True,1,False,False
1,8,zipf,1000000,1,1.3235759000017424,0.9502659999998286,0.7179535378353276,True,1,False,False
1,9,zipf,1000000,1,1.9370519999974931,2.207194200000231,1.139460479121411,True,1,False,False
1,10,zipf,1000000,1,0.00206889999753912,1.0336105999995198,499.59427774612664,True,1,False,False
1,11,zipf,1000000,1,3.170000127283856e-05,1.03224919999775,32563.064938492913,True,1,False,False
1,12,zipf,1000000,1,3.3299998904112726e-05,1.0254783000018506,30795.145157653402,True,1,False,False
1,13,zipf,1000000,1,3.229999856557697e-05,1.0127518000008422,31354.546284102955,True,1,False,False
1,14,zipf,1000000,1,1.1616283000003023,1.0204577000004065,0.8784717968735274,True,1,False,False
1,15,zipf,1000000,1,0.0026160000015806872,0.9448064000025624,361.1645257766339,True,1,False,False
1,16,zipf,1000000,1,1.8319990999989386,0.929022399999667,0.5071085460687209,True,1,False,False
1,17,zipf,1000000,1,1.3766122999986692,0.934266000000207,0.6786703852646894,True,1,False,False
1,18,zipf,1000000,1,0.0022762999979022425,0.8906615999985661,391.2760184595037,True,1,False,False
1,19,zipf,1000000,1,3.360000118846074e-05,0.8924187000011443,26560.079417724188,True,1,False,False
1,20,zipf,1000000,1,1.826951300001383,0.9124203999999736,0.49942239839632446,True,2,False,False
1,21,zipf,1000000,1,1.9250933000002988,0.8535578000009991,0.44338515956648267,True,1,False,False
1,22,zipf,1000000,1,1.4194750000024214,0.9008308000011311,0.6346225188887401,True,1,False,False
1,23,zipf,1000000,1,1.8769001000000571,1.8777489999993122,1.0004522883233131,True,1,False,False
1,24,zipf,1000000,1,1.8020289999985835,1.8961849000006623,1.052249936045509,True,2,False,False
1,25,zipf,1000000,1,1.2591800000009243,2.0070334000010916,1.5939209644368704,True,1,False,False
1,26,zipf,1000000,1,3.35000004270114e-05,1.90580989999944,56889.84703602468,True,1,False,False
