experiment,param_name,param_value,algorithm,n,seed,rep,conflict_ratio,fd_count,candidate_key_width,skew,deleted_count,raw_fd_index_count,bcnf_index_count,compression_ratio,index_count,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,result
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,3,0,0.05,4,1,uniform,50000,4,1,0.75,4,18.420422099999996,0.4008584000002884,19.415242099999887,629.1005096435547,719.5078125,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,3,1,0.05,4,1,uniform,50000,4,1,0.75,4,18.3933999999972,0.40052880000075675,19.353512599998794,629.1001739501953,719.5078125,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,3,2,0.05,4,1,uniform,50000,4,1,0.75,4,18.468245600000955,0.3874848000014026,19.398457399998733,629.1002349853516,724.80078125,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,3,3,0.05,4,1,uniform,50000,4,1,0.75,4,18.382131899998058,0.40247780000208877,19.345661699997436,629.1001739501953,729.953125,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,3,4,0.05,4,1,uniform,50000,4,1,0.75,4,18.38280990000203,0.3976699999984703,19.368783199999598,629.1002960205078,729.953125,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,3,0,0.05,4,1,uniform,50000,4,1,0.75,1,2.3567961000007926,3.136888299999555,6.050159499998699,165.7777557373047,595.08984375,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,3,1,0.05,4,1,uniform,50000,4,1,0.75,1,2.3263698000009754,3.22413349999988,6.127063799998723,165.7774887084961,596.6640625,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,3,2,0.05,4,1,uniform,50000,4,1,0.75,1,2.330407199999172,3.1124615000007907,6.02394540000023,165.77742767333984,596.6640625,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,3,3,0.05,4,1,uniform,50000,4,1,0.75,1,2.284456699999282,3.2145474000026297,6.0512305999982345,165.77742767333984,598.6640625,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,3,4,0.05,4,1,uniform,50000,4,1,0.75,1,2.433358499998576,3.1214005000001634,6.098659700001008,165.77742767333984,600.6875,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,4,0,0.05,4,1,uniform,50000,4,1,0.75,4,18.301370700002735,0.40236519999962184,19.240190799999255,629.1005096435547,790.453125,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,4,1,0.05,4,1,uniform,50000,4,1,0.75,4,18.083264799999597,0.3879162000012002,19.022833600000013,629.1001739501953,796.54296875,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,4,2,0.05,4,1,uniform,50000,4,1,0.75,4,18.307139699998515,0.3895539999975881,19.2452796999969,629.1002349853516,796.54296875,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,4,3,0.05,4,1,uniform,50000,4,1,0.75,4,18.175921399997605,0.3885848999998416,19.11862359999941,629.1001739501953,785.99609375,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,4,4,0.05,4,1,uniform,50000,4,1,0.75,4,18.268874699999287,0.39530890000241925,19.20986940000148,629.1002960205078,803.71875,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,4,0,0.05,4,1,uniform,50000,4,1,0.75,1,2.271311100001185,3.227353199999925,6.0845584999988205,165.7777557373047,805.89453125,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,4,1,0.05,4,1,uniform,50000,4,1,0.75,1,2.3476306999982626,3.1124643000002834,6.0035532000001695,165.7774887084961,805.89453125,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,4,2,0.05,4,1,uniform,50000,4,1,0.75,1,2.3549469000026875,3.2572559000000183,6.182174300000042,165.77742767333984,630.484375,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,4,3,0.05,4,1,uniform,50000,4,1,0.75,1,2.3787136999999348,3.1397412000005716,6.062434399998892,165.77742767333984,638.640625,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,4,4,0.05,4,1,uniform,50000,4,1,0.75,1,2.3242755999999645,3.227211900000839,6.08532600000035,165.77742767333984,638.640625,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,5,0,0.05,4,1,uniform,50000,4,1,0.75,4,18.591565900002024,0.39058360000126413,19.541105099997367,629.1005096435547,746.68359375,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,5,1,0.05,4,1,uniform,50000,4,1,0.75,4,18.295975400000316,0.3965336000001116,19.253719100001035,629.1001739501953,752.33203125,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,5,2,0.05,4,1,uniform,50000,4,1,0.75,4,18.189837000001717,0.3956390999992436,19.159236200001033,629.1002349853516,754.4921875,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,5,3,0.05,4,1,uniform,50000,4,1,0.75,4,18.444955099999788,0.38475520000065444,19.396058499998617,629.1001739501953,754.4921875,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,5,4,0.05,4,1,uniform,50000,4,1,0.75,4,18.328285999999935,0.40110959999947227,19.282797600000777,629.1002960205078,749.59765625,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,5,0,0.05,4,1,uniform,50000,4,1,0.75,1,2.296364400001039,3.122457999998005,5.98487180000302,165.7777557373047,776.125,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,5,1,0.05,4,1,uniform,50000,4,1,0.75,1,2.3385199999975157,3.2366958999991766,6.126818299999286,165.7774887084961,777.54296875,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,5,2,0.05,4,1,uniform,50000,4,1,0.75,1,2.30303069999718,3.110106000000087,5.966080899997905,165.77742767333984,777.55078125,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,5,3,0.05,4,1,uniform,50000,4,1,0.75,1,2.3430258000007598,3.2640702000026067,6.159846200000175,165.77742767333984,778.55078125,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,5,4,0.05,4,1,uniform,50000,4,1,0.75,1,2.3018254000016896,3.1249179000005824,5.962963099998888,165.77742767333984,779.55078125,True
A_conflict_ratio,conflict_ratio,0.1,FD-Hash,1000000,1,0,0.1,4,1,uniform,100000,4,1,0.75,4,19.027995200001897,0.9296167000029527,20.584261699998024,629.1005630493164,741.4765625,True
A_conflict_ratio,conflict_ratio,0.1,FD-Hash,1000000,1,1,0.1,4,1,uniform,100000,4,1,0.75,4,18.36814090000189,0.8082377999999153,19.7868077000021,629.1001739501953,754.16015625,True
A_conflict_ratio,conflict_ratio,0.1,FD-Hash,1000000,1,2,0.1,4,1,uniform,100000,4,1,0.75,4,18.2437256000012,0.7845087999994576,19.60677719999876,629.1002349853516,754.16015625,True
A_conflict_ratio,conflict_ratio,0.1,FD-Hash,1000000,1,3,0.1,4,1,uniform,100000,4,1,0.75,4,18.351067100000364,0.7834650999975565,19.71764880000046,629.1001739501953,769.234375,True
A_conflict_ratio,conflict_ratio,0.1,FD-Hash,1000000,1,4,0.1,4,1,uniform,100000,4,1,0.75,4,18.176620000002004,0.8006727000029059,19.538691600002494,629.1002960205078,769.234375,True
A_conflict_ratio,conflict_ratio,0.1,BCNF-Index,1000000,1,0,0.1,4,1,uniform,100000,4,1,0.75,1,2.3678421000004164,6.2947171999985585,9.22903579999911,165.7777557373047,819.9140625,True
A_conflict_ratio,conflict_ratio,0.1,BCNF-Index,1000000,1,1,0.1,4,1,uniform,100000,4,1,0.75,1,2.3325130000011995,6.317891900001996,9.232544499998767,165.7774887084961,819.9140625,True
A_conflict_ratio,conflict_ratio,0.1,BCNF-Index,1000000,1,2,0.1,4,1,uniform,100000,4,1,0.75,1,2.2985801000031643,6.4549334999974235,9.325422800000524,165.77770233154297,821.81640625,True
A_conflict_ratio,conflict_ratio,0.1,BCNF-Index,1000000,1,3,0.1,4,1,uniform,100000,4,1,0.75,1,2.254798400001164,6.40669710000293,9.249847999999474,165.77770233154297,823.8203125,True
A_conflict_ratio,conflict_ratio,0.1,BCNF-Index,1000000,1,4,0.1,4,1,uniform,100000,4,1,0.75,1,2.3022291000015684,6.329279800000222,9.209783199999947,165.77742767333984,823.8203125,True
A_conflict_ratio,conflict_ratio,0.1,FD-Hash,1000000,2,0,0.1,4,1,uniform,100000,4,1,0.75,4,18.391478499997902,0.7691468999983044,19.732247500000085,629.1005096435547,863.26953125,True
A_conflict_ratio,conflict_ratio,0.1,FD-Hash,1000000,2,1,0.1,4,1,uniform,100000,4,1,0.75,4,18.119395600002463,0.7976767000000109,19.47099900000103,629.1001739501953,863.26953125,True
A_conflict_ratio,conflict_ratio,0.1,FD-Hash,1000000,2,2,0.1,4,1,uniform,100000,4,1,0.75,4,18.200815399999556,0.7821188999987498,19.54483700000128,629.1002960205078,861.34375,True
A_conflict_ratio,conflict_ratio,0.1,FD-Hash,1000000,2,3,0.1,4,1,uniform,100000,4,1,0.75,4,18.304777599998488,0.7768030999977782,19.63989650000076,629.1001739501953,863.65234375,True
A_conflict_ratio,conflict_ratio,0.1,FD-Hash,1000000,2,4,0.1,4,1,uniform,100000,4,1,0.75,4,18.309273999999277,0.7853801000019303,19.658382900001016,629.1002960205078,869.95703125,True
A_conflict_ratio,conflict_ratio,0.1,BCNF-Index,1000000,2,0,0.1,4,1,uniform,100000,4,1,0.75,1,2.3333816999984265,6.332182100002683,9.21019829999932,165.7777557373047,874.58984375,True
A_conflict_ratio,conflict_ratio,0.1,BCNF-Index,1000000,2,1,0.1,4,1,uniform,100000,4,1,0.75,1,2.3487655999997514,6.289322999997239,9.203925500001787,165.7778778076172,898.90625,True
A_conflict_ratio,conflict_ratio,0.1,BCNF-Index,1000000,2,2,0.1,4,1,uniform,100000,4,1,0.75,1,2.302844100002403,6.296142200000759,9.151998299999832,165.77770233154297,898.90625,True
A_conflict_ratio,conflict_ratio,0.1,BCNF-Index,1000000,2,3,0.1,4,1,uniform,100000,4,1,0.75,1,2.2791479000006802,6.409459100003005,9.291779700000916,165.77742767333984,898.9296875,True
A_conflict_ratio,conflict_ratio,0.1,BCNF-Index,1000000,2,4,0.1,4,1,uniform,100000,4,1,0.75,1,2.2655595999967773,6.307897899998352,9.162961900001392,165.77770233154297,898.9296875,True
A_conflict_ratio,conflict_ratio,0.1,FD-Hash,1000000,3,0,0.1,4,1,uniform,100000,4,1,0.75,4,18.87954130000071,0.7952657999994699,20.278371000000334,629.1005096435547,789.53125,True
A_conflict_ratio,conflict_ratio,0.1,FD-Hash,1000000,3,1,0.1,4,1,uniform,100000,4,1,0.75,4,18.573571299999458,0.7874233999973512,19.9304564999984,629.1001739501953,789.53125,True
A_conflict_ratio,conflict_ratio,0.1,FD-Hash,1000000,3,2,0.1,4,1,uniform,100000,4,1,0.75,4,18.097753099998954,0.790951099999802,19.446770800001104,629.1002349853516,777.125,True
A_conflict_ratio,conflict_ratio,0.1,FD-Hash,1000000,3,3,0.1,4,1,uniform,100000,4,1,0.75,4,18.083820300002117,0.7704494999998133,19.44982119999986,629.1001739501953,791.98828125,True
A_conflict_ratio,conflict_ratio,0.1,FD-Hash,1000000,3,4,0.1,4,1,uniform,100000,4,1,0.75,4,18.146694700000808,0.774862000002031,19.540580100001534,629.1002960205078,791.98828125,True
A_conflict_ratio,conflict_ratio,0.1,BCNF-Index,1000000,3,0,0.1,4,1,uniform,100000,4,1,0.75,1,2.254046300000482,6.367399000002479,9.192052099999273,165.7777557373047,841.07421875,True
A_conflict_ratio,conflict_ratio,0.1,BCNF-Index,1000000,3,1,0.1,4,1,uniform,100000,4,1,0.75,1,2.286405699996976,6.368238899998687,9.241577400000097,165.7778778076172,842.08984375,True
A_conflict_ratio,conflict_ratio,0.1,BCNF-Index,1000000,3,2,0.1,4,1,uniform,100000,4,1,0.75,1,2.3222535000022617,6.248615399999835,9.140490499998123,165.77742767333984,842.22265625,True
A_conflict_ratio,conflict_ratio,0.1,BCNF-Index,1000000,3,3,0.1,4,1,uniform,100000,4,1,0.75,1,2.3055577000013727,6.287515699998039,9.162774000000354,165.77770233154297,843.24609375,True
A_conflict_ratio,conflict_ratio,0.1,BCNF-Index,1000000,3,4,0.1,4,1,uniform,100000,4,1,0.75,1,2.2875486000011733,6.345263999999588,9.231704500001797,165.77742767333984,845.2421875,True
A_conflict_ratio,conflict_ratio,0.1,FD-Hash,1000000,4,0,0.1,4,1,uniform,100000,4,1,0.75,4,18.202953199997864,0.7803735999987111,19.550301499999478,629.1005096435547,878.73046875,True
