/*algorithm,case_type,n,seed,rep,conflict_ratio,fd_count,candidate_key_width,deleted_count,index_count,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,peak_memory_mb,result,timeout
BCNF-Index,pass,1000,3,3,0.1,4,1,100,1,0.0024212999996962026,0.0060296999999991385,0.008674400000018068,0.1545867919921875,28.6328125,0.1545867919921875,True,False
BCNF-Index,pass,1000,3,4,0.1,4,1,100,1,0.0022262000002228888,0.0059314999998605344,0.008372799999051495,0.1545867919921875,28.6328125,0.1545867919921875,True,False
Singleton-FullScan,fail,1000,3,0,0.1,4,1,101,0,0.0,0.476338599999508,0.49727440000060597,0.8855772018432617,27.40234375,0.8855772018432617,False,False
Singleton-FullScan,fail,1000,3,1,0.1,4,1,101,0,0.0,0.1237156999995932,0.14397189999908733,0.719813346862793,27.546875,0.719813346862793,False,False
Singleton-FullScan,fail,1000,3,2,0.1,4,1,101,0,0.0,0.5145142000001215,0.5371770999990986,0.8855772018432617,27.69140625,0.8855772018432617,False,False
Singleton-FullScan,fail,1000,3,3,0.1,4,1,101,0,0.0,0.4674086000013631,0.48832779999975173,0.8855772018432617,27.43359375,0.8855772018432617,False,False
Singleton-FullScan,fail,1000,3,4,0.1,4,1,101,0,0.0,0.053595400000631344,0.07367680000061227,0.719813346862793,27.45703125,0.719813346862793,False,False
FD-Hash,fail,1000,3,0,0.1,4,1,101,4,0.01830809999955818,0.00015859999984968454,0.018699500000366243,0.603118896484375,28.75390625,0.603118896484375,False,False
FD-Hash,fail,1000,3,1,0.1,4,1,101,4,0.017882800000734278,0.00017289999959757552,0.018321800000194344,0.603118896484375,28.50390625,0.603118896484375,False,False
FD-Hash,fail,1000,3,2,0.1,4,1,101,4,0.01740299999983108,0.00016219999997701962,0.01782419999835838,0.603118896484375,28.50390625,0.603118896484375,False,False
FD-Hash,fail,1000,3,3,0.1,4,1,101,4,0.01920339999924181,0.0001857999995991122,0.019683799999256735,0.603118896484375,28.94140625,0.603118896484375,False,False
FD-Hash,fail,1000,3,4,0.1,4,1,101,4,0.021505600001546554,0.0002910999992309371,0.02216720000069472,0.603118896484375,28.94140625,0.603118896484375,False,False
BCNF-Index,fail,1000,3,0,0.1,4,1,101,1,0.0027592999995249556,0.001160899999376852,0.004175800000666641,0.1545867919921875,28.99609375,0.1545867919921875,False,False
BCNF-Index,fail,1000,3,1,0.1,4,1,101,1,0.0032004000004235422,0.000963100001172279,0.004430299999512499,0.1545867919921875,28.99609375,0.1545867919921875,False,False
BCNF-Index,fail,1000,3,2,0.1,4,1,101,1,0.0019358999998075888,0.0009616999996069353,0.003064299999095965,0.1545867919921875,28.99609375,0.1545867919921875,False,False
BCNF-Index,fail,1000,3,3,0.1,4,1,101,1,0.0021838000011484837,0.0011479000004328554,0.0035213999999541556,0.1545867919921875,28.99609375,0.1545867919921875,False,False
